"Date","Time","Open","High","Low","Close","Vol","OI","Volume"
11/29/2019,15:00,2.36,2.36,2.20,2.27,32640284,0,32640284.00
12/02/2019,15:00,2.35,2.44,2.30,2.44,33145682,0,33145682.00
12/03/2019,15:00,2.31,2.48,2.25,2.40,38015425,0,38015425.00
12/04/2019,15:00,2.42,2.58,2.41,2.42,46922168,0,46922168.00
12/05/2019,15:00,2.53,2.57,2.25,2.27,53335378,0,53335378.00
12/06/2019,15:00,2.32,2.34,2.20,2.26,32061322,0,32061322.00
12/09/2019,15:00,2.21,2.25,2.11,2.22,31824409,0,31824409.00
12/10/2019,15:00,2.20,2.28,2.14,2.27,25261366,0,25261366.00
12/11/2019,15:00,2.26,2.32,2.23,2.26,20364065,0,20364065.00
12/12/2019,15:00,2.30,2.33,2.26,2.27,22515294,0,22515294.00
12/13/2019,15:00,2.31,2.43,2.29,2.39,37269741,0,37269741.00
12/16/2019,15:00,2.44,2.55,2.39,2.48,36959896,0,36959896.00
12/17/2019,15:00,2.54,2.63,2.50,2.59,45705508,0,45705508.00
12/18/2019,15:00,2.58,2.67,2.54,2.63,31842120,0,31842120.00
12/19/2019,15:00,2.69,2.73,2.61,2.62,36387929,0,36387929.00
12/20/2019,15:00,2.65,2.72,2.63,2.69,51014364,0,51014364.00
12/23/2019,15:00,2.74,2.76,2.65,2.67,28627274,0,28627274.00
12/24/2019,15:00,2.63,2.63,2.45,2.53,32029806,0,32029806.00
12/26/2019,15:00,2.45,2.52,2.35,2.51,44197159,0,44197159.00
12/27/2019,15:00,2.54,2.55,2.41,2.42,37703779,0,37703779.00
12/30/2019,15:00,2.92,4.87,2.88,3.72,433831851,0,433831851.00
12/31/2019,15:00,4.15,4.42,3.82,4.02,218567537,0,218567537.00
01/02/2020,15:00,4.10,4.10,3.61,3.72,103899030,0,103899030.00
01/03/2020,15:00,3.50,3.90,3.48,3.83,82981638,0,82981638.00
01/06/2020,15:00,4.19,4.24,3.66,3.68,106848660,0,106848660.00
01/07/2020,15:00,3.70,3.73,3.21,3.24,109299493,0,109299493.00
01/08/2020,15:00,3.14,3.49,3.13,3.39,65258120,0,65258120.00
01/09/2020,15:00,3.44,3.58,3.33,3.46,54722031,0,54722031.00
01/10/2020,15:00,3.49,3.58,3.40,3.51,35762408,0,35762408.00
01/13/2020,15:00,3.71,3.73,3.52,3.70,59974787,0,59974787.00
01/14/2020,15:00,3.70,3.82,3.61,3.76,55273777,0,55273777.00
01/15/2020,15:00,4.19,4.48,4.00,4.29,236357902,0,236357902.00
01/16/2020,15:00,3.99,4.40,3.91,4.37,99336772,0,99336772.00
01/17/2020,15:00,4.51,4.71,4.46,4.67,109601251,0,109601251.00
01/21/2020,15:00,4.60,5.29,4.52,5.17,181423633,0,181423633.00
01/22/2020,15:00,5.42,5.65,4.69,4.79,207132680,0,207132680.00
01/23/2020,15:00,4.57,4.95,4.31,4.92,102535338,0,102535338.00
01/24/2020,15:00,5.00,5.06,4.51,4.66,65537979,0,65537979.00
01/27/2020,15:00,3.99,4.35,3.84,4.01,102028723,0,102028723.00
01/28/2020,15:00,4.25,4.27,4.03,4.21,48979120,0,48979120.00
01/29/2020,15:00,4.23,4.33,4.02,4.27,54690961,0,54690961.00
01/30/2020,15:00,4.24,4.38,4.01,4.08,75009830,0,75009830.00
01/31/2020,15:00,4.02,4.04,3.67,3.78,77923240,0,77923240.00
02/03/2020,15:00,3.54,4.11,3.52,4.06,74051574,0,74051574.00
02/04/2020,15:00,4.29,4.70,4.16,4.51,123640368,0,123640368.00
02/05/2020,15:00,4.37,4.48,4.13,4.39,73632529,0,73632529.00
02/06/2020,15:00,4.20,4.33,4.05,4.08,75641235,0,75641235.00
